Date,City,Product_Category,Product,Quantity,Product_Price
15-01-2026,Hyderabad,Dairy Products,Kharwas,23,75
25-01-2026,Delhi NCR,Ghee,Cultured Cow Ghee,63,500
21-01-2026,Mumbai,High Protein Milk,Milk 0.5L,40,120
10-02-2026,Pune,High Protein Milk,Mango Milk,112,130
02-03-2026,Delhi NCR,High Protein Milk,Chickoo Milk,22,120
14-01-2026,Hyderabad,Nutrition Rich Milk,Pasteurized Buffalo Milk,22,55
15-02-2026,Mumbai,High Protein Milk,Cacao Milk,70,120
21-01-2026,Mumbai,Dairy Products,Door Bag,91,250
06-02-2026,Delhi NCR,High Protein Milk,Milk 250 ML Pouch,47,75
22-01-2026,Hyderabad,Dairy Products,A2 Gir Cow Paneer,54,195
04-01-2026,Jaipur,Nutrition Rich Milk,Pasteurized Buffalo Milk,21,55
07-02-2026,Delhi NCR,Nutrition Rich Milk,Homogenised Cow Milk,7,50
02-01-2026,Delhi NCR,High Protein Milk,Mango Milk,93,130
12-01-2026,Hyderabad,High Protein Milk,Milk 250 ML Pouch,94,75
19-02-2026,Mumbai,Dairy Products,Door Bag,72,250
05-02-2026,Delhi NCR,High Protein Milk,Cacao Milk,92,120
14-01-2026,Delhi NCR,Dairy Products,Dahi,19,45
12-01-2026,Delhi NCR,Ghee,A2 Gir Cow Ghee,20,1000
01-02-2026,Delhi NCR,Dairy Products,Cow Milk Paneer,31,100
05-01-2026,Delhi NCR,Dairy Products,A2 Gir Cow Paneer,106,195
01-02-2026,Jaipur,High Protein Milk,Kesar Elaichi,96,100
14-02-2026,Pune,High Protein Milk,Coffee,83,90
01-02-2026,Delhi NCR,Nutrition Rich Milk,Lactose Free Milk,83,75
08-01-2026,Hyderabad,Nutrition Rich Milk,Lactose Free Milk,6,75
01-01-2026,Delhi NCR,Ghee,Cultured Cow Ghee,92,500
17-01-2026,Hyderabad,Dairy Products,Door Bag,66,250
04-02-2026,Mumbai,Nutrition Rich Milk,Homogenised A2 Cow Milk,54,55
04-01-2026,Jaipur,High Protein Milk,Coffee,75,90
26-02-2026,Mumbai,Ghee,Cultured Cow Ghee,117,500
05-02-2026,Pune,Nutrition Rich Milk,Homogenised A2 Cow Milk,51,55
14-01-2026,Jaipur,Dairy Products,Cow Milk Paneer,63,100
03-02-2026,Delhi NCR,High Protein Milk,Chickoo Milk,47,120
20-01-2026,Mumbai,Ghee,Buffalo Ghee,105,500
28-02-2026,Jaipur,Dairy Products,Cow Milk Paneer,24,100
25-01-2026,Delhi NCR,High Protein Milk,Matcha,99,125
24-02-2026,Mumbai,Nutrition Rich Milk,Raw Cow Milk,84,50
10-02-2026,Hyderabad,Nutrition Rich Milk,Lactose Free Milk,85,75
26-02-2026,Mumbai,Nutrition Rich Milk,Raw Cow Milk,111,50
02-01-2026,Delhi NCR,Dairy Products,Chocolate Milk,64,90
13-01-2026,Pune,High Protein Milk,Coffee,37,90
18-02-2026,Jaipur,Dairy Products,Chocolate Milk,114,90
25-02-2026,Pune,High Protein Milk,Cacao Milk,110,120
08-01-2026,Pune,Ghee,Buffalo Ghee,78,500
15-01-2026,Delhi NCR,Nutrition Rich Milk,A2 Cow Milk,104,55
16-01-2026,Delhi NCR,Ghee,A2 Gir Cow Ghee,70,1000
01-02-2026,Mumbai,High Protein Milk,Cacao Milk,46,120
02-01-2026,Hyderabad,Ghee,Buffalo Ghee,105,500
01-03-2026,Delhi NCR,Dairy Products,Chocolate Milk,115,90
12-01-2026,Pune,Nutrition Rich Milk,Homogenised Cow Milk,120,50
16-01-2026,Jaipur,Dairy Products,A2 Gir Cow Paneer,45,195
16-01-2026,Hyderabad,Ghee,Buffalo Ghee,110,500
14-02-2026,Hyderabad,Nutrition Rich Milk,A2 Cow Milk,35,55
06-01-2026,Delhi NCR,Ghee,Buffalo Ghee,94,500
12-01-2026,Delhi NCR,Dairy Products,A2 Gir Cow Paneer,44,195
05-02-2026,Mumbai,Ghee,Cultured Cow Ghee,30,500
19-02-2026,Delhi NCR,Ghee,Buffalo Ghee,34,500
12-01-2026,Pune,Nutrition Rich Milk,Pasteurized Buffalo Milk,83,55
20-01-2026,Jaipur,Ghee,Buffalo Ghee,47,500
02-03-2026,Hyderabad,Nutrition Rich Milk,Pasteurized Buffalo Milk,15,55
14-01-2026,Mumbai,Ghee,Buffalo Ghee,17,500
18-02-2026,Jaipur,High Protein Milk,Milk 250 ML Pouch,74,75
26-02-2026,Delhi NCR,Ghee,Buffalo Ghee,117,500
06-01-2026,Hyderabad,Nutrition Rich Milk,Homogenised A2 Cow Milk,37,55
02-03-2026,Hyderabad,Ghee,A2 Gir Cow Ghee,67,1000
18-02-2026,Pune,High Protein Milk,Matcha,110,125
02-01-2026,Jaipur,Ghee,Cultured Cow Ghee,20,500
07-01-2026,Mumbai,High Protein Milk,Milk,19,75
28-01-2026,Hyderabad,Nutrition Rich Milk,Pasteurized Buffalo Milk,112,55
30-01-2026,Mumbai,High Protein Milk,Milk,91,75
02-03-2026,Mumbai,Nutrition Rich Milk,Pasteurized Buffalo Milk,19,55
14-01-2026,Jaipur,Ghee,Cultured Cow Ghee,33,500
22-02-2026,Pune,Ghee,Cultured Cow Ghee,40,500
04-01-2026,Mumbai,High Protein Milk,Chickoo Milk,86,120
05-01-2026,Mumbai,Dairy Products,Cow Milk Paneer,77,100
16-01-2026,Delhi NCR,Ghee,Buffalo Ghee,53,500
04-02-2026,Jaipur,Ghee,A2 Gir Cow Ghee,99,1000
11-02-2026,Hyderabad,Ghee,Cultured Cow Ghee,43,500
21-01-2026,Hyderabad,High Protein Milk,Chickoo Milk,50,120
11-01-2026,Pune,Nutrition Rich Milk,Pasteurized Buffalo Milk,104,55
05-02-2026,Delhi NCR,High Protein Milk,Milk 250 ML Pouch,78,75
15-01-2026,Pune,Ghee,Buffalo Ghee,100,500
03-02-2026,Delhi NCR,Dairy Products,A2 Gir Cow Paneer,80,195
05-01-2026,Mumbai,Dairy Products,Door Bag,56,250
22-01-2026,Mumbai,Nutrition Rich Milk,Homogenised Cow Milk,60,50
23-01-2026,Delhi NCR,Dairy Products,Dahi,17,45
01-02-2026,Delhi NCR,Dairy Products,Door Bag,117,250
03-02-2026,Delhi NCR,High Protein Milk,Kesar Elaichi,77,100
23-01-2026,Pune,Dairy Products,Dahi,89,45
20-01-2026,Hyderabad,Ghee,Buffalo Ghee,5,500
15-02-2026,Mumbai,Ghee,Buffalo Ghee,20,500
28-01-2026,Jaipur,Ghee,Cultured Cow Ghee,39,500
29-01-2026,Pune,High Protein Milk,Mango Milk,39,130
